Price,journey_day,journey_month,journey_year,Dept_Time_hour,Dept_Time_min,Arrival_Time_hour,Arrival_Time_min,dur_hour,dur_min
10441,27,6,2019,22,0,19,15,21,15
4030,24,5,2019,6,0,8,45,2,45
17024,3,3,2019,8,0,18,50,10,50
13017,9,4,2019,17,30,1,30,8,0
6686,6,6,2019,23,30,7,45,8,15
5636,15,6,2019,2,0,7,25,5,25
6442,9,6,2019,7,35,16,10,8,35
9486,21,5,2019,13,5,0,55,11,50
10844,21,5,2019,20,0,23,35,27,35
15318,3,6,2019,20,0,4,25,8,25
5117,3,4,2019,12,30,9,25,20,55
6147,24,6,2019,15,10,20,0,4,50
7005,9,6,2019,12,50,21,0,8,10
3873,3,4,2019,22,20,0,40,2,20
9270,21,3,2019,18,25,18,50,24,25
3898,27,6,2019,11,40,14,30,2,50
14781,12,5,2019,8,25,20,45,12,20
8586,24,5,2019,20,0,8,15,12,15
10697,9,5,2019,8,20,7,55,23,35
14300,27,6,2019,20,0,12,35,16,35
8855,3,3,2019,18,55,21,45,2,50
10844,12,5,2019,16,30,18,15,25,45
17024,6,3,2019,2,15,4,25,26,10
9314,1,5,2019,9,35,14,25,28,50
4777,24,3,2019,0,40,3,25,2,45
7662,9,6,2019,12,0,13,15,25,15
6442,9,5,2019,6,50,16,10,9,20
5264,12,6,2019,8,45,13,15,4,30
12898,27,5,2019,13,0,4,25,15,25
6092,3,3,2019,13,55,15,25,1,30
3311,21,5,2019,5,55,8,35,2,40
6540,27,3,2019,19,15,4,25,9,10
3419,27,5,2019,1,30,4,15,2,45
5177,3,4,2019,14,0,12,35,22,35
8246,18,4,2019,18,5,21,10,3,5
14676,9,6,2019,9,35,21,5,11,30
13587,27,6,2019,11,30,21,0,9,30
9663,6,5,2019,21,10,9,20,12,10
13044,12,6,2019,16,30,10,5,17,35
5073,3,4,2019,20,25,1,30,5,5
9345,21,5,2019,17,0,18,50,25,50
9663,6,5,2019,14,5,10,5,20,0
14277,21,5,2019,8,0,21,0,13,0
10262,1,6,2019,10,0,4,25,18,25
5678,27,3,2019,19,35,21,5,1,30
13727,15,5,2019,16,0,1,30,9,30
9663,6,5,2019,20,0,12,0,16,0
3858,12,5,2019,14,45,17,5,2,20
4812,24,6,2019,8,45,13,15,4,30
5775,27,6,2019,21,50,3,35,5,45
10539,6,6,2019,9,35,9,45,24,10
4804,3,6,2019,15,30,18,5,2,35
3383,12,6,2019,11,10,13,55,2,45
8738,3,3,2019,12,10,17,5,4,55
7165,27,3,2019,5,15,6,50,25,35
6412,24,6,2019,16,10,22,30,6,20
8016,27,6,2019,18,55,22,0,3,5
11087,12,3,2019,20,35,15,15,18,40
3543,27,6,2019,9,45,12,0,2,15
12471,12,6,2019,16,30,4,40,12,10
10262,24,6,2019,9,0,4,25,19,25
4441,18,3,2019,13,20,16,10,2,50
12537,27,3,2019,7,5,15,30,8,25
10091,24,3,2019,22,25,7,40,9,15
6961,3,6,2019,21,5,23,55,2,50
5013,24,4,2019,5,35,8,50,3,15
6934,18,5,2019,5,10,8,0,2,50
10877,3,6,2019,6,40,19,0,12,20
7229,18,4,2019,15,15,18,10,2,55
7048,27,3,2019,16,0,1,35,9,35
4878,27,6,2019,17,0,19,35,2,35
10844,21,5,2019,14,5,23,35,9,30
15129,18,5,2019,23,5,4,25,29,20
3943,12,5,2019,0,30,3,25,2,55
5583,6,6,2019,6,5,11,20,5,15
9646,6,6,2019,7,5,16,10,9,5
7677,3,6,2019,8,30,19,15,10,45
6842,1,6,2019,5,10,10,5,4,55
4995,24,6,2019,8,45,10,15,1,30
9555,9,6,2019,7,10,18,50,11,40
4077,1,6,2019,1,30,4,15,2,45
7229,12,5,2019,15,15,18,10,2,55
12192,9,6,2019,9,0,19,0,10,0
5911,12,4,2019,10,0,12,45,2,45
8372,12,6,2019,9,0,19,15,10,15
4995,18,3,2019,7,10,8,35,1,25
14323,9,5,2019,10,0,19,15,9,15
13014,9,6,2019,5,30,4,25,22,55
13591,6,6,2019,14,25,19,15,28,50
18799,3,3,2019,5,25,18,50,37,25
3943,27,4,2019,23,30,2,20,2,50
1965,21,5,2019,5,45,7,15,1,30
4995,27,5,2019,10,20,11,50,1,30
14641,24,3,2019,16,50,18,30,25,40
4460,12,4,2019,20,45,23,20,2,35
10191,18,5,2019,13,0,19,15,6,15
13843,9,3,2019,2,15,19,45,17,30
6349,1,5,2019,21,50,3,35,5,45
4409,1,5,2019,10,20,12,55,2,35
17024,6,3,2019,18,15,19,45,25,30
13727,18,5,2019,7,5,21,0,13,55
8855,15,3,2019,18,25,21,20,2,55
12524,24,6,2019,8,45,19,0,10,15
13555,18,3,2019,11,40,20,20,8,40
10844,6,6,2019,6,30,12,0,5,30
13587,9,6,2019,9,0,21,0,12,0
3543,12,6,2019,9,45,12,0,2,15
4842,18,3,2019,7,5,9,20,2,15
3943,24,4,2019,23,30,2,20,2,50
10577,9,6,2019,19,15,4,25,9,10
6979,15,5,2019,10,35,21,0,10,25
11982,27,6,2019,17,45,20,5,2,20
5264,6,6,2019,8,45,13,15,4,30
8001,3,3,2019,6,0,9,10,3,10
10651,1,6,2019,19,45,19,15,23,30
10844,24,5,2019,16,30,19,50,27,20
6601,27,3,2019,9,45,22,20,12,35
6587,21,3,2019,19,0,19,15,24,15
3173,21,3,2019,13,10,14,30,1,20
5228,9,5,2019,10,0,12,45,2,45
5769,21,6,2019,7,10,10,10,3,0
14714,6,6,2019,8,0,19,0,11,0
13014,3,6,2019,5,30,19,0,13,30
3359,3,6,2019,22,10,1,0,2,50
6722,3,3,2019,20,55,23,50,2,55
4462,18,3,2019,9,35,12,20,2,45
6171,9,3,2019,4,55,16,10,11,15
12303,21,5,2019,5,50,20,25,14,35
7695,21,3,2019,11,40,1,35,13,55
5684,24,6,2019,11,25,1,30,14,5
8366,12,6,2019,16,50,7,55,15,5
19630,1,3,2019,11,40,13,55,2,15
13502,6,3,2019,14,5,5,5,15,0
14781,1,5,2019,21,10,10,5,12,55
6513,12,6,2019,7,10,16,10,9,0
9929,1,6,2019,7,0,19,15,12,15
18275,6,6,2019,17,50,1,30,7,40
4487,9,4,2019,6,5,9,25,27,20
2754,15,3,2019,21,20,22,45,1,25
2575,27,3,2019,6,20,7,40,1,20
8224,12,6,2019,15,55,21,25,5,30
8991,9,3,2019,20,30,8,15,11,45
5000,24,6,2019,5,35,8,50,3,15
8529,12,6,2019,18,55,19,50,24,55
14042,3,3,2019,6,5,9,25,27,20
4030,24,5,2019,11,10,14,5,2,55
10844,6,6,2019,18,55,12,0,17,5
4804,6,5,2019,21,25,0,5,2,40
7308,27,5,2019,17,30,1,30,8,0
4823,12,5,2019,16,55,19,55,3,0
10262,24,6,2019,9,0,12,35,27,35
12898,27,5,2019,20,55,4,25,7,30
12778,12,3,2019,17,25,16,20,22,55
14871,3,3,2019,4,45,13,20,8,35
8708,21,3,2019,13,20,19,15,29,55
10844,6,6,2019,20,0,18,15,22,15
4129,6,3,2019,5,45,7,5,1,20
4804,18,5,2019,21,25,0,5,2,40
7229,6,5,2019,8,20,11,20,3,0
7832,21,3,2019,7,0,19,10,12,10
3859,18,3,2019,9,30,12,5,2,35
9001,6,6,2019,7,30,19,15,11,45
4878,9,5,2019,17,0,19,35,2,35
2754,3,5,2019,2,35,4,5,1,30
4668,27,6,2019,7,0,9,40,2,40
5216,12,5,2019,10,20,12,55,2,35
10368,6,6,2019,5,30,4,25,22,55
8146,9,3,2019,6,40,21,20,14,40
12242,27,3,2019,13,0,4,25,15,25
9134,15,3,2019,8,0,15,15,7,15
10939,6,6,2019,13,15,9,25,20,10
11753,6,6,2019,10,55,7,40,20,45
4174,24,4,2019,17,10,19,40,2,30
10844,21,5,2019,20,0,19,50,23,50
14714,3,6,2019,16,0,19,0,27,0
9899,12,6,2019,6,30,12,0,5,30
14871,3,3,2019,9,10,21,0,11,50
7295,6,3,2019,13,20,15,35,2,15
13465,6,6,2019,18,45,19,15,24,30
3543,21,5,2019,17,45,20,5,2,20
7198,27,6,2019,19,0,1,30,6,30
10262,1,6,2019,8,0,4,25,20,25
4148,15,3,2019,15,20,17,55,2,35
8016,27,6,2019,15,15,18,10,2,55
10262,9,6,2019,22,50,4,25,5,35
3841,15,6,2019,14,55,17,25,2,30
11507,12,3,2019,9,45,0,30,14,45
14781,1,5,2019,8,25,20,45,12,20
16079,27,5,2019,17,30,19,0,25,30
12898,27,5,2019,22,50,4,25,5,35
15353,6,3,2019,7,30,19,15,11,45
7303,24,3,2019,18,25,21,20,2,55
6197,24,3,2019,15,5,20,45,5,40
8996,9,6,2019,9,10,13,15,4,5
6528,21,3,2019,14,20,22,20,8,0
4239,9,4,2019,20,55,23,40,2,45
4148,12,3,2019,20,25,23,5,2,40
3971,24,5,2019,21,10,0,5,2,55
5192,6,5,2019,7,35,23,30,15,55
9483,9,4,2019,13,25,12,35,23,10
18804,3,6,2019,11,40,19,0,7,20
5201,18,6,2019,5,10,8,0,2,50
16079,27,5,2019,11,30,19,0,7,30
7229,15,6,2019,19,50,22,50,3,0
6795,27,5,2019,17,45,1,30,7,45
10953,9,5,2019,9,35,10,55,25,20
15965,24,6,2019,15,5,1,30,10,25
9968,9,4,2019,12,55,19,15,30,20
4804,6,6,2019,22,15,0,50,2,35
16079,27,5,2019,10,0,19,0,9,0
11507,12,6,2019,21,25,12,35,15,10
11542,9,6,2019,9,25,13,45,28,20
7229,24,4,2019,17,45,20,45,3,0
4544,27,4,2019,6,0,8,45,2,45
6496,15,5,2019,5,10,10,5,4,55
4804,15,6,2019,21,25,0,5,2,40
13439,1,3,2019,11,5,9,15,22,10
6540,27,3,2019,18,15,4,25,10,10
4591,1,6,2019,23,30,2,20,2,50
4437,18,3,2019,16,15,20,35,4,20
6151,21,3,2019,20,10,7,10,11,0
7754,21,6,2019,17,45,20,45,3,0
10262,24,6,2019,14,0,12,35,22,35
8016,9,6,2019,18,55,22,0,3,5
4781,24,3,2019,6,55,9,35,2,40
4668,27,6,2019,11,30,14,20,2,50
14594,6,3,2019,11,50,8,55,21,5
14231,24,3,2019,16,55,4,45,11,50
8425,15,5,2019,5,15,6,50,25,35
9646,12,6,2019,7,5,22,30,15,25
7295,3,3,2019,14,40,17,5,2,25
5162,9,4,2019,6,50,10,30,3,40
6860,9,3,2019,18,25,21,20,2,55
6216,15,4,2019,6,0,9,10,3,10
5192,24,5,2019,7,35,19,25,11,50
4823,9,4,2019,20,0,22,50,2,50
3919,3,4,2019,9,30,12,20,2,50
2754,3,6,2019,19,5,20,35,1,30
9315,9,5,2019,7,30,19,0,11,30
11667,27,3,2019,10,0,18,50,8,50
6224,12,6,2019,8,25,4,40,20,15
13349,24,3,2019,9,25,5,35,20,10
11087,18,3,2019,16,55,9,0,16,5
15603,6,3,2019,13,0,1,35,12,35
15129,9,5,2019,19,30,12,35,17,5
4823,9,4,2019,16,55,19,55,3,0
8452,1,5,2019,7,10,22,40,15,30
12524,6,6,2019,7,30,19,0,11,30
3384,27,3,2019,17,45,20,5,2,20
10262,1,6,2019,19,15,19,0,23,45
1965,18,6,2019,13,15,14,45,1,30
4804,18,5,2019,22,15,0,50,2,35
16079,27,5,2019,18,15,19,0,24,45
13292,1,6,2019,21,25,19,0,21,35
6751,9,5,2019,7,55,13,25,5,30
8669,15,5,2019,7,0,19,15,12,15
14871,3,3,2019,17,30,1,35,8,5
12898,21,5,2019,14,0,19,0,5,0
3919,6,6,2019,9,30,12,20,2,50
36983,1,3,2019,12,50,19,15,6,25
3597,3,6,2019,19,35,21,55,2,20
10741,9,3,2019,17,0,19,45,2,45
11432,6,6,2019,16,50,5,35,12,45
11087,12,3,2019,18,55,10,45,15,50
13292,3,6,2019,9,35,12,35,27,0
10493,15,6,2019,5,15,7,40,26,25
7631,9,3,2019,7,45,10,40,2,55
13381,6,6,2019,6,50,7,40,24,50
13731,6,6,2019,20,0,4,40,8,40
11911,21,5,2019,5,55,7,40,25,45
4591,18,4,2019,23,30,2,20,2,50
14848,3,6,2019,13,0,19,15,6,15
8266,12,6,2019,8,45,19,15,10,30
12392,18,5,2019,17,15,19,15,26,0
13044,12,6,2019,18,55,12,0,17,5
12898,21,5,2019,7,5,4,25,21,20
12242,21,3,2019,22,50,4,25,5,35
3943,18,5,2019,10,10,13,0,2,50
11105,24,3,2019,20,20,22,10,25,50
14388,12,5,2019,21,10,9,20,12,10
13014,18,5,2019,19,30,12,35,17,5
15411,6,3,2019,10,20,18,50,8,30
16289,9,3,2019,19,45,18,50,23,5
6442,15,5,2019,6,50,16,10,9,20
10844,18,5,2019,8,25,16,20,7,55
5678,18,5,2019,10,20,11,50,1,30
6906,12,4,2019,23,30,2,20,2,50
3543,21,5,2019,9,45,12,0,2,15
14714,6,6,2019,9,0,19,0,10,0
11793,3,3,2019,16,0,18,35,2,35
14323,15,5,2019,11,30,19,15,7,45
3971,9,4,2019,21,10,0,5,2,55
8452,6,5,2019,20,20,22,40,26,20
5403,12,4,2019,7,0,9,40,2,40
13727,9,5,2019,10,0,21,0,11,0
12639,1,4,2019,10,0,5,25,19,25
5198,18,4,2019,15,15,18,10,2,55
4878,1,6,2019,19,30,22,15,2,45
12373,18,5,2019,19,45,19,0,23,15
8552,3,3,2019,7,10,16,10,9,0
6741,21,4,2019,14,40,17,50,3,10
6481,9,4,2019,12,50,19,15,6,25
7354,6,6,2019,10,35,19,15,8,40
5228,21,4,2019,21,5,23,55,2,50
10844,12,5,2019,8,25,20,45,12,20
6347,18,5,2019,6,50,12,10,5,20
5013,15,3,2019,8,15,12,15,4,0
9663,9,6,2019,18,55,4,40,9,45
4823,6,4,2019,18,25,21,20,2,55
13381,24,6,2019,16,55,19,15,26,20
3543,1,6,2019,9,45,12,0,2,15
9663,15,5,2019,18,55,4,40,9,45
7064,1,4,2019,18,55,19,50,24,55
10262,9,6,2019,7,5,19,0,11,55
13013,1,6,2019,10,55,19,15,8,20
15339,27,6,2019,19,10,12,35,17,25
4937,18,4,2019,11,40,14,30,2,50
6818,6,6,2019,5,5,12,10,7,5
10441,18,5,2019,22,0,19,15,21,15
5177,3,4,2019,14,0,19,0,5,0
3858,27,6,2019,11,35,14,0,2,25
6534,18,5,2019,21,0,2,15,5,15
6795,15,6,2019,10,20,1,30,15,10
9736,3,6,2019,7,30,19,15,11,45
7229,1,5,2019,19,50,22,50,3,0
4957,24,4,2019,17,55,22,50,4,55
7648,9,3,2019,6,0,8,45,2,45
3873,15,6,2019,14,55,17,25,2,30
14388,12,5,2019,18,55,4,40,9,45
5618,6,3,2019,17,15,19,55,2,40
7408,9,6,2019,19,0,1,30,6,30
13774,3,3,2019,16,45,22,15,5,30
4668,3,5,2019,7,0,9,40,2,40
13082,21,3,2019,18,20,4,25,34,5
8669,3,6,2019,3,50,19,15,15,25
6316,24,6,2019,16,0,1,30,9,30
12583,6,3,2019,22,20,4,25,6,5
7923,9,3,2019,16,10,18,50,2,40
7378,3,3,2019,7,0,12,50,5,50
4878,3,6,2019,19,30,22,15,2,45
10844,18,5,2019,16,30,19,50,27,20
7229,3,4,2019,8,20,11,20,3,0
6297,21,5,2019,6,5,11,20,5,15
8529,12,6,2019,20,0,12,0,16,0
13727,18,5,2019,14,0,21,0,7,0
6643,24,5,2019,8,35,17,15,8,40
10197,9,5,2019,10,0,19,0,9,0
4911,21,4,2019,22,20,0,40,2,20
6482,6,3,2019,5,15,7,35,2,20
26890,1,3,2019,8,55,15,15,6,20
3717,18,5,2019,19,20,23,45,4,25
3597,1,6,2019,13,15,15,35,2,20
10846,18,3,2019,11,5,22,10,11,5
14069,1,3,2019,5,50,22,45,16,55
5177,1,4,2019,22,50,12,35,13,45
14641,6,3,2019,5,55,7,40,25,45
6442,6,6,2019,8,35,22,30,13,55
5704,21,3,2019,17,45,23,0,5,15
9663,6,5,2019,14,5,9,20,19,15
14714,6,6,2019,20,55,4,25,7,30
5406,1,4,2019,10,0,19,0,9,0
8610,15,5,2019,20,20,20,20,24,0
14237,12,6,2019,18,25,12,35,18,10
4823,9,6,2019,7,10,10,5,2,55
2227,27,3,2019,20,5,21,35,1,30
12373,18,5,2019,7,5,4,25,21,20
8372,6,6,2019,13,0,19,15,6,15
17024,3,3,2019,13,55,4,25,14,30
3100,27,5,2019,21,5,22,25,1,20
14053,9,3,2019,6,50,19,45,12,55
3540,9,5,2019,5,15,7,40,2,25
9345,21,5,2019,20,20,18,50,22,30
10368,1,6,2019,5,30,4,25,22,55
26890,1,3,2019,7,0,12,25,5,25
5755,9,3,2019,8,50,10,15,1,25
7832,21,3,2019,8,55,16,10,7,15
14388,6,5,2019,8,25,20,45,12,20
8839,27,6,2019,13,15,9,25,20,10
22096,3,3,2019,22,0,19,15,21,15
3687,27,5,2019,7,5,9,20,2,15
9627,15,5,2019,8,30,19,0,10,30
13542,21,3,2019,11,30,1,35,14,5
4423,27,4,2019,4,0,6,50,2,50
8899,3,3,2019,4,55,21,20,16,25
5583,21,4,2019,6,5,11,20,5,15
6752,27,5,2019,16,45,6,35,13,50
3543,21,5,2019,8,20,10,35,2,15
7832,21,3,2019,8,0,15,15,7,15
10991,1,5,2019,5,50,8,55,27,5
12898,27,5,2019,9,0,12,35,27,35
12898,27,5,2019,14,0,19,0,5,0
3398,24,5,2019,11,40,14,30,2,50
5201,24,4,2019,5,10,8,0,2,50
13873,6,5,2019,10,0,1,20,15,20
7384,15,6,2019,17,40,23,0,5,20
10262,6,6,2019,18,15,4,25,10,10
10031,24,3,2019,8,25,12,0,27,35
12384,6,5,2019,9,35,19,10,9,35
7757,9,5,2019,14,5,18,15,28,10
17261,6,3,2019,21,25,11,25,14,0
7298,1,3,2019,9,30,12,5,2,35
7229,6,4,2019,15,15,18,10,2,55
4174,1,4,2019,4,40,7,15,2,35
5699,18,5,2019,17,35,22,15,4,40
4880,24,4,2019,14,15,16,45,2,30
15284,6,3,2019,8,0,19,15,11,15
13759,24,3,2019,8,25,16,20,7,55
16092,24,3,2019,9,55,18,45,8,50
4392,9,3,2019,6,20,7,45,1,25
10262,24,6,2019,20,55,12,35,15,40
3841,12,6,2019,6,55,9,30,2,35
5048,1,6,2019,7,45,10,40,2,55
11096,21,5,2019,7,0,20,25,13,25
5073,24,4,2019,7,35,12,10,4,35
19828,3,3,2019,9,55,4,25,18,30
3739,21,3,2019,7,5,9,20,2,15
10598,9,3,2019,5,0,19,15,38,15
7229,15,6,2019,18,55,22,0,3,5
8610,1,4,2019,17,0,18,50,25,50
6216,9,5,2019,14,40,17,50,3,10
6961,9,6,2019,13,20,16,10,2,50
10703,6,5,2019,9,35,21,5,11,30
14151,15,5,2019,17,0,23,35,6,35
8586,9,5,2019,6,30,10,5,27,35
4488,12,4,2019,20,20,22,55,2,35
7408,15,6,2019,18,0,1,30,7,30
5443,18,4,2019,11,0,14,15,3,15
10539,12,6,2019,9,35,19,10,9,35
7723,1,6,2019,13,0,1,30,12,30
15411,6,3,2019,7,30,18,50,11,20
7229,21,5,2019,7,10,10,10,3,0
4804,21,6,2019,20,20,22,55,2,35
4050,3,3,2019,2,55,4,25,1,30
14151,18,5,2019,17,0,19,10,26,10
4957,6,4,2019,17,55,22,50,4,55
7591,3,3,2019,21,10,23,55,2,45
11134,24,3,2019,13,55,22,35,8,40
6600,27,5,2019,5,5,12,10,7,5
4966,9,3,2019,21,10,23,55,2,45
15481,1,6,2019,6,50,7,40,24,50
5515,1,3,2019,22,20,0,40,2,20
14714,15,6,2019,8,0,19,0,11,0
4959,15,6,2019,10,35,19,35,9,0
7229,21,4,2019,11,10,14,5,2,55
6094,15,5,2019,18,5,21,10,3,5
4409,24,4,2019,10,20,12,55,2,35
9794,18,5,2019,6,0,19,0,13,0
5678,3,4,2019,2,55,4,20,1,25
6442,15,6,2019,8,35,16,10,7,35
4878,18,5,2019,7,0,9,40,2,40
12446,24,3,2019,21,10,10,5,12,55
16704,9,5,2019,23,5,4,25,29,20
9134,15,3,2019,5,45,10,45,5,0
8586,15,5,2019,20,0,4,40,8,40
7229,1,6,2019,7,10,10,10,3,0
6144,21,4,2019,7,10,10,10,3,0
6961,18,5,2019,10,0,12,45,2,45
10844,9,5,2019,16,30,4,40,12,10
3597,21,5,2019,19,35,21,55,2,20
7139,21,3,2019,10,20,18,15,7,55
25139,6,3,2019,9,40,15,15,29,35
10368,1,6,2019,9,40,12,35,26,55
5117,6,4,2019,20,40,9,25,12,45
9211,18,5,2019,11,40,19,15,7,35
4174,15,4,2019,17,10,19,40,2,30
10786,27,5,2019,7,30,19,15,11,45
9134,15,3,2019,8,0,7,40,23,40
13376,1,6,2019,14,35,4,25,13,50
6955,21,3,2019,22,0,10,50,12,50
10844,9,5,2019,8,25,18,15,9,50
3807,1,4,2019,19,55,22,25,2,30
9663,1,5,2019,14,5,12,0,21,55
12373,9,5,2019,2,15,4,25,26,10
4991,1,5,2019,21,10,0,5,2,55
6745,21,3,2019,23,0,19,15,20,15
10262,15,6,2019,22,50,19,0,20,10
6540,27,3,2019,17,30,4,25,10,55
3873,6,4,2019,17,10,19,40,2,30
15554,9,5,2019,21,50,19,0,21,10
4804,27,5,2019,20,20,22,55,2,35
7438,27,3,2019,23,5,19,45,20,40
6181,3,5,2019,4,55,7,45,2,50
9424,1,5,2019,19,0,1,30,6,30
12725,12,3,2019,17,25,23,25,30,0
6046,15,3,2019,8,15,21,25,13,10
3971,15,6,2019,21,10,0,5,2,55
12692,6,6,2019,20,25,14,25,18,0
7451,6,3,2019,14,20,22,20,8,0
13817,12,3,2019,22,55,7,40,8,45
10703,6,5,2019,9,35,22,5,12,30
13817,12,3,2019,21,25,10,45,13,20
27210,15,3,2019,22,55,5,5,6,10
13941,18,5,2019,21,10,4,40,7,30
